timestamp,motor.m1,motor.m2,motor.m3,motor.m4
1508743,0,0,0,0
1508843,0,0,0,0
1508943,0,0,0,0
1509043,0,0,0,0
1509143,0,0,0,0
1509243,0,0,0,0
1509343,0,0,0,0
1509443,0,0,0,0
1509543,0,0,0,0
1509643,0,0,0,0
1509743,36212,37346,36026,34256
1509843,37727,37251,39739,32071
1509943,37652,39966,40370,39344
1510043,48033,43043,41231,39945
1510143,53185,48267,42391,41353
1510243,48912,41764,50084,48872
1510343,47621,48261,47497,40241
1510443,45607,42009,45481,40467
1510543,43266,39652,44176,38882
1510643,41986,38780,42094,36332
1510743,41312,37676,41014,35578
1510843,40749,37611,41445,36151
1510943,41122,38070,42518,37606
1511043,42378,38624,41686,37684
1511143,42111,38443,41823,37779
1511243,43017,41411,43751,37985
1511343,43290,41184,43908,39206
1511443,42243,39905,44195,39613
1511546,41872,40104,43316,38832
1511646,42871,40085,42717,39183
1511743,41330,40264,43502,38300
1511845,42794,41260,42202,36904
1511945,44665,43233,43129,37945
1512045,43915,42433,43807,38997
1512145,42806,40240,44002,39864
1512245,41879,40115,43699,38927
1512345,43240,42582,42660,36634
1512445,43749,41291,43375,38901
1512545,41933,39765,44373,39329
1512645,42574,40414,44022,38338
1512745,42477,40507,43697,37679
1512843,43387,40539,44151,38347
1512943,44201,41473,44499,38959
1513043,43741,41823,44417,38175
1513143,38467,38839,43205,35973
1513243,43192,39658,41894,36844
1513343,46196,40900,40684,35752
1513443,41141,41041,45389,36793
1513543,42506,42298,46984,38292
1513643,45202,42902,46212,39520
1513743,38433,39331,45055,35765
1513845,39588,38686,42084,34870
1513945,43029,41995,44735,37829
1514045,44504,43286,47156,39822
1514144,40338,35240,40560,37138
1514244,38723,40491,42901,32565
1514343,41407,39255,44167,37971
1514444,43335,42177,46535,39913
1514544,42839,43591,46987,38231
1514644,41580,40916,46216,38480
1514743,41714,40470,44520,37900
1514844,43120,40474,45394,40908
1514944,41389,40089,45373,39293
1515043,41841,40773,43923,37911
1515143,44571,43729,48455,40937
1515243,48814,44654,48202,43482
1515343,36695,36621,51221,42003
1515443,40027,39629,45127,36813
1515543,38889,33129,41657,39709
1515643,46189,43185,41865,31509
1515743,48854,39468,36816,37866
1515843,44803,39675,45565,42497
1515943,32258,28088,40440,36214
1516043,41012,34912,37962,35326
1516143,41068,34998,41074,38456
1516243,39551,34339,39607,35135
1516343,39389,35161,36331,31735
1516443,33700,31728,34372,29632
1516543,39695,37801,34337,30183
1516643,45723,43203,48019,43471
1516743,0,0,0,0
1516843,0,0,0,0
1516943,0,0,0,0
1517043,0,0,0,0
1517143,0,0,0,0
1517243,0,0,0,0
1517343,0,0,0,0
1517443,0,0,0,0
1517543,0,0,0,0
1517643,0,0,0,0
1517743,0,0,0,0
1517843,0,0,0,0
1517943,0,0,0,0
1518043,0,0,0,0
1518143,0,0,0,0
1518243,0,0,0,0
1518343,0,0,0,0
1518443,0,0,0,0
1518543,0,0,0,0
1518643,0,0,0,0
1518743,0,0,0,0
1518843,0,0,0,0
1518943,0,0,0,0
1519044,0,0,0,0
1519146,0,0,0,0
1519246,0,0,0,0
1519345,0,0,0,0
1519445,0,0,0,0
1519545,0,0,0,0
1519645,0,0,0,0
1519745,0,0,0,0
1519844,0,0,0,0
1519944,0,0,0,0
1520044,0,0,0,0
1520143,0,0,0,0
1520243,0,0,0,0
1520343,0,0,0,0
1520443,0,0,0,0
1520543,0,0,0,0
1520643,0,0,0,0
1520743,0,0,0,0
1520843,0,0,0,0
1520943,0,0,0,0
1521043,0,0,0,0
1521143,0,0,0,0
1521243,0,0,0,0
1521343,0,0,0,0
1521443,0,0,0,0
1521543,0,0,0,0
1521643,0,0,0,0
1521743,35485,38493,37153,33113
1521843,37438,34570,36756,33224
1521943,41396,34696,36846,36194
1522043,40147,34207,36465,39185
1522143,38989,34397,43283,35619
1522243,38611,38801,45089,37575
1522343,47208,43200,44380,38072
1522443,43494,39318,50316,43404
1522543,49007,43245,47789,42255
1522643,48755,43593,46719,42645
1522743,51478,42340,42880,42494
1522843,41586,38530,39174,33450
1522943,35548,32362,37244,31622
1523043,43346,38988,43354,39532
1523143,50365,46927,49157,43639
1523243,46641,42045,46657,43105
1523343,41114,38624,44568,37570
1523443,46753,42803,44601,39155
1523543,43644,41236,44866,38142
1523643,40488,36962,41786,37256
1523743,39745,35773,38385,35133
1523843,39158,35688,38832,34890
1523943,41824,38602,39926,36672
1524043,43150,40652,43548,39782
1524143,45211,41897,44041,40619
1524243,42786,40748,44762,39888
1524343,43715,40467,43023,38635
1524443,42723,39485,43547,39705
1524543,44122,40416,44342,40212
1524643,44803,40245,43799,39901
1524743,35365,41819,50011,35629
1524843,49145,39417,41299,42223
1524943,48618,39694,45518,44990
1525043,44747,44393,47071,37497
1525143,51567,38407,30183,33583
1525243,36089,24979,40875,44569
1525343,46036,48524,51802,37298
1525443,48289,40875,46605,41203
1525543,49098,40852,45562,41420
1525643,34173,29601,41781,36669
1525743,39812,38134,41838,34728
1525843,46028,39932,42976,40488
1525943,46876,42378,46224,42182
1526043,49263,43113,48063,43937
1526143,48042,41458,46532,42468
1526243,48404,40500,43708,41608
1526343,50558,44036,44690,42076
1526443,46616,39872,45274,43650
1526543,40944,29148,32962,37330
1526643,41229,37227,38627,34745
1526743,42989,38157,42813,39613
1526843,45793,39469,44627,41939
1526943,46249,39905,43473,40625
1527043,43544,39366,44662,40080
1527143,42854,38816,43872,38950
1527243,44682,39272,42704,39466
1527343,45768,40282,43152,40098
1527443,44095,39035,42367,39323
1527543,43399,39551,42179,38295
1527646,43401,39021,42469,39285
1527745,44704,39720,43400,41212
1527843,43592,39892,44260,40328
1527943,43239,39575,41451,37203
1528043,41760,40310,43834,38576
1528145,44201,41023,45623,41105
1528245,44656,41160,43526,39982
1528344,43383,40123,42017,39449
1528444,41998,40510,42432,38844
1528544,41354,39374,41558,39210
1528644,39661,37551,38953,36947
1528744,36758,35266,37180,34324
1528844,34431,33571,35343,32359
1528943,35121,33671,35423,33057
1529044,36670,36310,37924,34720
1529143,43016,39766,41164,41170
1529243,46095,42969,47301,44683
